submit time,student name,student id,teacher name,teacher id,course name,course id,homework title,request_id,homework id,homework content,isMarked,grade
2023 10 5 15 25 47,zhangsan,20210700,Doc Lee,20010060,OS,CS0710,OS_hw1,OShw_20210700_01,CS0710001,URL_1,1,89
2023 11 21 8 41 2,zhangsan,20210700,Doc Lee,20010060,OS,CS0710,OS_hw2,OShw_20210700_02,CS0710002,URL_2,0,0
2023 12 10 14 30 15,zhangsan,20210700,Ms. Smith,20010061,Database,DB0711,Database_hw1,DBhw_20210700_03,DB0711001,URL_3,1,92
2023 12 21 10 15 30,zhangsan,20210700,Mr. Johnson,20010062,Algorithms,ALG0712,Algorithms_hw1,Alghw_20210700_04,ALG0712001,URL_4,1,88
2023 10 8 11 45 20,lisi,20210800,Prof. Wang,20010064,Machine Learning,ML0714,ML_hw1,MLhw_20210800_05,ML0714001,URL_5,1,90
2023 11 24 14 45 10,lisi,20210800,Prof. Wang,20010064,Machine Learning,ML0714,ML_hw2,MLhw_20210800_06,ML0714002,URL_6,1,93
2023 12 5 9 30 55,lisi,20210800,Dr. Chen,20010065,Web Development,WEB0715,Web_hw1,Webhw_20210800_07,WEB0715001,URL_7,1,87
2023 12 22 11 0 5,lisi,20210800,Ms. Li,20010066,Data Science,DS0716,DS_hw1,DShw_20210800_08,DS0716001,URL_8,1,91
2023 10 1 22 25 10,lisi,20210800,Doc Lee,20010060,OS,CS0710,hw_lisi_OS1,OShw_20210700_01,CS0710003,URL_41,0,0
2023 10 9 12 15 40,sunba,20211300,Dr. Chen,20010065,Web Development,WEB0715,Web_hw1,Webhw_20211300_09,WEB0715001,URL_9,1,87
2023 11 25 11 0 5,sunba,20211300,Ms. Li,20010066,Data Science,DS0716,DS_hw1,DShw_20211300_10,DS0716001,URL_10,1,91
2023 12 15 10 45 25,sunba,20211300,Mr. Wu,20010067,Computer Graphics,CG0717,CG_hw1,CGhw_20211300_11,CG0717001,URL_11,1,93
2023 12 26 9 30 50,sunba,20211300,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw1,SEhw_20211300_12,SE0718001,URL_12,1,90
2023 10 12 16 30 20,chenjiu,20211400,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw1,SEhw_20211400_13,SE0718001,URL_13,1,90
2023 11 28 15 45 45,chenjiu,20211400,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw2,SEhw_20211400_14,SE0718002,URL_14,1,94
2023 12 18 9 45 25,chenjiu,20211400,Dr. Chen,20010065,Web Development,WEB0715,Web_hw1,Webhw_20211400_15,WEB0715001,URL_15,1,87
2023 12 29 14 15 0,chenjiu,20211400,Ms. Li,20010066,Data Science,DS0716,DS_hw1,DShw_20211400_16,DS0716001,URL_16,1,91
2023 10 13 13 0 35,zhushier,20211500,Mr. Wu,20010067,Computer Graphics,CG0717,CG_hw1,CGhw_20211500_17,CG0717001,URL_17,1,93
2023 11 27 14 15 0,zhushier,20211500,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw1,SEhw_20211500_18,SE0718001,URL_18,1,90
2023 12 8 9 30 55,zhushier,20211500,Ms. Smith,20010061,Database,DB0711,Database_hw1,DBhw_20211500_19,DB0711001,URL_19,1,92
2023 12 30 12 0 45,zhushier,20211500,Mr. Johnson,20010062,Algorithms,ALG0712,Algorithms_hw1,Alghw_20211500_20,ALG0712001,URL_20,1,88
2023 10 14 16 30 20,wangshiyi,20211600,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw1,SEhw_20211600_21,SE0718001,URL_21,1,90
2023 11 28 15 45 45,wangshiyi,20211600,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw2,SEhw_20211600_22,SE0718002,URL_22,1,94
2023 12 18 9 45 25,wangshiyi,20211600,Dr. Chen,20010065,Web Development,WEB0715,Web_hw1,Webhw_20211600_23,WEB0715001,URL_23,1,87
2023 12 29 14 15 0,wangshiyi,20211600,Ms. Li,20010066,Data Science,DS0716,DS_hw1,DShw_20211600_24,DS0716001,URL_24,1,91
2023 10 15 13 0 35,luba,20211700,Mr. Wu,20010067,Computer Graphics,CG0717,CG_hw1,CGhw_20211700_25,CG0717001,URL_25,1,93
2023 11 27 14 15 0,luba,20211700,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw1,SEhw_20211700_26,SE0718001,URL_26,1,90
2023 12 8 9 30 55,luba,20211700,Ms. Smith,20010061,Database,DB0711,Database_hw1,DBhw_20211700_27,DB0711001,URL_27,1,92
2023 12 30 12 0 45,luba,20211700,Mr. Johnson,20010062,Algorithms,ALG0712,Algorithms_hw1,Alghw_20211700_28,ALG0712001,URL_28,1,88
2023 10 16 16 30 20,yanyi,20211800,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw1,SEhw_20211800_29,SE0718001,URL_29,1,90
2023 11 28 15 45 45,yanyi,20211800,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw2,SEhw_20211800_30,SE0718002,URL_30,1,94
2023 12 18 9 45 25,yanyi,20211800,Dr. Chen,20010065,Web Development,WEB0715,Web_hw1,Webhw_20211800_31,WEB0715001,URL_31,1,87
2023 12 29 14 15 0,yanyi,20211800,Ms. Li,20010066,Data Science,DS0716,DS_hw1,DShw_20211800_32,DS0716001,URL_32,1,91
2023 10 17 13 0 35,Dr. Chen,20211900,Mr. Wu,20010067,Computer Graphics,CG0717,CG_hw1,CGhw_20211900_33,CG0717001,URL_33,1,93
2023 11 27 14 15 0,Dr. Chen,20211900,Prof. Zhang,20010068,Software Engineering,SE0718,SE_hw1,SEhw_20211900_34,SE0718001,URL_34,1,90
2023 12 8 9 30 55,Dr. Chen,20211900,Ms. Smith,20010061,Database,DB0711,Database_hw1,DBhw_20211900_35,DB0711001,URL_35,1,92
