submit time,teacher name,teacher id,course name,course id,title,id,content
2023 9 27 12 0 0,Doc Lee,20010060,OS,CS0710,OS_Homework_Intro,OS_hw1,URL_1560
2023 10 20 12 0 0,Doc Lee,20010060,OS,CS0710,OS_Homework_Chapter3_File Management,OS_hw2,URL_1880
2023 11 10 12 0 0,Doc Lee,20010060,OS,CS0710,OS_Homework_Chapter6_Memory Management,OS_hw3,URL_1992
2023 9 30 12 30 0,Doc Lee,20010060,OS,CS0710,OS_Homework_Process Scheduling,OS_hw4,URL_1625
2023 10 25 15 45 0,Doc Lee,20010060,OS,CS0710,OS_Homework_File Systems,OS_hw5,URL_1743
2023 11 15 10 0 0,Doc Lee,20010060,OS,CS0710,OS_Homework_Security,OS_hw6,URL_2087
2023 9 28 9 30 0,Doc Lee,20010060,OS,CS0710,OS_Homework_Input Output,OS_hw7,URL_1765
2023 10 22 14 15 0,Doc Lee,20010060,OS,CS0710,OS_Homework_Networking,OS_hw8,URL_1872
2023 11 12 11 30 0,Doc Lee,20010060,OS,CS0710,OS_Homework_Error Handling,OS_hw9,URL_1945
2023 9 29 13 45 0,Doc Lee,20010060,OS,CS0710,OS_Homework_Command Line,OS_hw10,URL_1650
2023 9 28 10 0 0,Ms. Smith,20010061,Database,DB0711,Database_Homework_Intro,DB_hw1,URL_1761
2023 10 21 11 30 0,Ms. Smith,20010061,Database,DB0711,Database_Homework_SQL Basics,DB_hw2,URL_1984
2023 11 11 14 0 0,Ms. Smith,20010061,Database,DB0711,Database_Homework_Indexing,DB_hw3,URL_2106
2023 9 29 12 15 0,Ms. Smith,20010061,Database,DB0711,Database_Homework_Transactions,DB_hw4,URL_1678
